term,estimate,std.error,statistic,p.value
(Intercept),-31.283399163909774,4.155304780195641,-7.528545033088255,7.199087383247568e-14
total_fuel_cost_usd,0.03228276807509615,4.903547813222769e-4,65.83553236300327,0
fuel_surcharge_usd,1.4858920838361305,0.023523895037966976,63.165223337289085,0
actual_distance_km,0.01413056253029974,3.930688894763341e-4,35.949328244026574,4.282623396289688e-227
reroutedYes,-141.66683274944901,5.011833491663639,-28.266468346382318,4.088870868125145e-152
conflict_phaseGaza-Israel Conflict,7.935348114697905,1.3287132200887564,5.9722052845743745,2.685814157110171e-9
conflict_phasePre-Iran Escalation,3.909071391503176,1.4372241402486676,2.719875962302464,0.00657737378136605
conflict_phasePre-Pandemic Baseline,8.691748078510662,1.1924931529301133,7.288719484178075,4.2175588553483597e-13
conflict_phaseRecovery & Surge,8.68370918565905,1.3817073706700627,6.284767216265092,3.882762379415211e-10
conflict_phaseStabilisation,7.243802722578171,1.4518522248946897,4.989352634083405,6.489063551237733e-7
conflict_phaseUkraine War Shock,2.0599763823256954,1.5454032052092261,1.3329701759268728,0.1826672215413914
conflict_phaseUS-Iran War Conflict,-18.617219701969603,4.579601634351573,-4.065248724326132,4.951473202425079e-5
airlineAir France,-15.183188331910738,2.7856563277594604,-5.450488698339459,5.532451281308461e-8
airlineAir India,-27.196337526961496,2.8442479253547823,-9.561873029605572,2.738077277854661e-21
airlineBritish Airways,-20.255335098082156,2.750798702856365,-7.36343778156122,2.4452001841392684e-13
airlineCathay Pacific,-18.19765466955418,2.909932739162175,-6.253634121726686,4.72687678107747e-10
airlineEgyptAir,-7.651266544199964,2.7692901133336614,-2.762898154787184,0.0057724460801487016
airlineEmirates,-14.465552525742902,2.086877043522987,-6.931674566376323,5.315731486966973e-12
airlineEthiopian Airlines,-18.898398470591673,2.731098400465624,-6.919706176595355,5.775218436324968e-12
airlineEtihad Airways,-15.854618948715304,2.5393001107984152,-6.243696395433244,5.03225151255566e-10
airlineflydubai,1.3499480406448419,2.671965558328825,0.5052265873850424,0.6134457627364616
airlineGulf Air,-21.886820463588688,2.7656013209977677,-7.913946344114562,3.763176324183186e-15
airlineKLM,-14.528434322230567,2.712456377712377,-5.356190957247214,9.302526532639828e-8
airlineKorean Air,-15.08091570551557,2.7518075047638915,-5.480367242042801,4.684417632939122e-8
airlineKuwait Airways,-26.87006820883523,2.7210589914100227,-9.874856919184783,1.4222142051501755e-22
airlineLufthansa,-16.14218069141177,2.7428747691617845,-5.885132224372307,4.5292279859907114e-9
airlineOman Air,-26.881510511130195,2.714112774807805,-9.904345449696267,1.0715640181179303e-22
airlineQatar Airways,-11.647275839409795,2.332968056040626,-4.992471203903604,6.386180037961735e-7
airlineSaudia,-28.345470659494104,2.753736490902216,-10.293457908242768,2.3811440880958325e-24
airlineSingapore Airlines,1.622525439919785,3.0011186530682163,0.5406402170274021,0.5888054085500567
airlineThai Airways,-15.305151943195138,2.9376750063822317,-5.209954099736698,2.0485388549066154e-7
airlineTurkish Airlines,-24.32868919028578,2.772830498348027,-8.773954702525133,3.1933414387953634e-18
airlineUnited Airlines,-9.305481934898426,3.0133397796534855,-3.088095805766881,0.0020373202816778664
estimated_passengers,0.018641212069641713,0.014478726883243984,1.2874897233689042,0.19804691555615378
